Date,Open,High,Low,close to 4 week average ratio,Volume,Nifty Close,Close
06-08-2012,50.046398,50.076599,43.3535,0.90797534,26363021,5320.399902,44.619701
13-08-2012,45.283001,45.9161,43.413799,0.953943969,9141782,5366.299805,45.584499
20-08-2012,45.584499,46.036701,43.112301,0.964940791,19095779,5386.700195,45.222698
27-08-2012,45.283001,45.9161,44.318199,0.976453999,13644959,5258.5,45.0116
03-09-2012,45.132198,47.634602,44.800598,1.051963999,16032007,5342.100098,47.453701
10-09-2012,47.544102,51.373001,47.453701,1.105444615,20059878,5577.649902,50.649399
17-09-2012,51.131802,54.2672,50.046398,1.126299961,13547566,5691.149902,53.031101
24-09-2012,53.061298,53.905399,50.739799,1.048878941,24192548,5703.299805,51.4333
01-10-2012,51.553902,51.855301,48.870602,0.97395483,9716160,5746.950195,49.322899
08-10-2012,49.1721,52.126701,47.483799,0.944992719,21645047,5676.049805,48.297798
15-10-2012,48.237499,49.624401,47.152199,0.977473401,17354936,5684.25,49.383202
22-10-2012,48.961102,51.252399,48.5089,0.993618177,6146283,5664.299805,49.292702
29-10-2012,49.322899,52.639198,49.081699,1.062816141,10570585,5697.700195,52.156799
05-11-2012,52.3377,57.191601,51.0112,1.128841653,17535389,5686.25,56.196701
12-11-2012,56.257,59.030701,54.9305,1.107908324,20704702,5574.049805,57.3424
19-11-2012,57.493099,58.729198,55.141499,1.040527721,21460126,5626.600098,55.9254
26-11-2012,56.377602,61.472698,56.076099,1.056181892,28178391,5879.850098,58.518101
03-12-2012,58.156399,60.538101,57.282101,1.026711696,15701464,5907.399902,58.518101
10-12-2012,58.7593,58.7593,55.653999,1.003272188,15406904,5879.600098,57.7644
17-12-2012,57.613701,60.146198,56.769501,1.020254319,18737903,5847.700195,58.8498
24-12-2012,58.367401,64.155899,57.915199,1.072516862,21757284,5908.350098,62.648499
31-12-2012,62.708801,66.5075,62.407299,1.113223557,19997730,6016.149902,66.175797
07-01-2013,65.9347,68.075203,65.602997,1.082914019,16923551,5951.299805,66.447197
14-01-2013,66.417,74.466698,66.055298,1.113299892,65013688,6064.399902,70.728302
21-01-2013,71.029701,73.863701,66.929604,1.02822186,63781159,6074.649902,68.376701
28-01-2013,68.436996,69.642899,66.899399,0.993676084,53656562,5998.899902,67.502403
04-02-2013,67.894302,69.492203,64.698601,0.971181606,20490230,5903.5,66.296402
